article_id,page,section_type,content,avg_font_size,bbox
CogMI_Security_and_Privacy_RL_MoE (2),1,body,"1st Abdolazim RezaeiDepartment of Computer ScienceTexas A&M UniversityCorpus Christi, USA
2nd Mehdi SookhakDepartment of Computer ScienceTexas A&M UniversityCorpus Christi, USA
3rd Mahboobeh HaghparastDepartment of Computer ScienceTexas A&M UniversityCorpus Christi, USA
Abstract—The proliferation of AI-powered cameras inIntelligent Transportation Systems (ITS) creates a severeconflict between the need for rich visual data and theright to privacy. Existing privacy-preserving methods, suchas blurring or encryption, are often insufficient due tocreating an undesirable trade-off where either privacyis compromised against advanced reconstruction attacksor data utility is critically degraded. To resolve thischallenge, we propose RL-MoE, a novel framework thattransforms sensitive visual data into privacy-preservingtextual descriptions, eliminating the need for direct imagetransmission. RL-MoE uniquely combines a Mixture-of-Experts (MoE) architecture for nuanced, multi-aspect scenedecomposition with a Reinforcement Learning (RL) agentthat optimizes the generated text for a dual objectiveof semantic accuracy and privacy preservation. Extensiveexperiments demonstrate that RL-MoE provides superiorprivacy protection, reducing the success rate of replayattacks to just 9.4% on the CFP-FP dataset, while simul-taneously generating richer textual content than baselinemethods. Our work provides a practical and scalablesolution for building trustworthy AI systems in privacy-sensitive domains, paving the way for more secure smartcity and autonomous vehicle networks.Index Terms—Connected and Autonomous Vehicles, Pri-vacy, Reinforcement Learning, Vision Language Model,Mixture of Experts
I. INTRODUCTION",9.62,
CogMI_Security_and_Privacy_RL_MoE (2),1,footer,"The emergence of artificial intelligence (AI) technolo-gies [1] and its growing integration of AI with Internetof Things (IoT) technologies in intelligent transportationsystems (ITS) has significantly enhanced the capabilitiesof urban mobility management. From traffic monitoringand congestion analysis to automated violation detectionand smart infrastructure planning, ITS plays a pivotalrole in shaping the future of transportation. A keycomponent of these systems is the use of roadsidecameras, which continuously capture visual data to en-able real-time decision-making and improve road safety.However, this reliance on visual data also introducesserious privacy challenges. As these systems often recordpersonally identifiable information (PII), such as vehiclelicense plates, individual faces, or behavioral cues, there
is a growing concern about data misuse, unauthorizedsurveillance, and compliance with privacy regulations.Traditional privacy-preserving mechanisms, such asimage blurring, obfuscation, and masking, have beenwidely adopted to mitigate the risk of exposing sensitiveinformation. These methods typically focus on alteringor hiding portions of the image to make it harder toidentify individuals or vehicles. However, recent studieshave shown that such approaches are often insufficient.Sophisticated adversarial attacks and advanced imagereconstruction techniques can sometimes reverse thesemodifications, leading to the recovery of sensitive details.Furthermore, excessive obfuscation may compromise theutility of the data, limiting its effectiveness for taskslike traffic pattern analysis, behavior prediction, or urbanplanning. Therefore, there is a critical need for more ro-bust and intelligent methods that can maintain a delicatebalance between data utility and privacy preservation.While these methods offer a coarse level of protection,they represent a binary, all-or-nothing approach. Theyfail to provide a mechanism to controllably filter out PIIwhile preserving task-critical semantic content. This lackof granular control forces system designers into a rigidchoice between insufficient privacy and impoverisheddata. The central research question we address is: howcan we abstract visual data in a way that is dynamicallytunable to the specific privacy-utility requirements of agiven task?In response to these challenges, this paper introducesRL-MoE, a novel framework that transforms visual datainto structured textual descriptions, thereby minimizingthe need to store or transmit raw images. The coreinnovation of RL-MoE lies in its combination of twoadvanced machine learning strategies: RL and a MoEmodel. By leveraging these techniques, the frameworkaims to ensure accurate scene interpretation while sig-nificantly reducing privacy risks.To do so, a MoE framework is utilized to generateand collect textual information from captured imagesbased on customized prompt database. The collected datawill be refined through a RL model which evaluates",9.96,
CogMI_Security_and_Privacy_RL_MoE (2),1,header,RL-MoE: An Image-Based Privacy PreservingApproach In Intelligent Transportation System,23.91,
CogMI_Security_and_Privacy_RL_MoE (2),2,body,"II. RELATED WORK
This section surveys the three core research areasthat inform our work: privacy-preserving visual dataprocessing, the use of reinforcement learning for con-trollable text generation, and the application of Mixture-of-Experts architectures in generative models.
A. Privacy-Preserving Visual Data Processing
A second paradigm involves adversarial and obfus-cation techniques. These methods aim to modify datato confuse a specific observer, either human or ma-chine. For instance, the IPPARNet framework generatesadversarial images that are visually coherent but aredesigned to be misclassified by recognition models, witha restoration network available for authorized users [6].Another novel approach fundamentally alters the datarepresentation itself, such as lifting a 3D point cloud intoa “3D line cloud,” which obfuscates the precise geometryof a scene while retaining enough information for taskslike camera localization [7]. These methods are oftenhighly creative but are typically designed to defeat aspecific analysis technique and may lack generalizabilityor formal privacy guarantees.
The third and most relevant paradigm is generativeand synthetic methods, which focus on replacing sen-sitive data with new, privacy-safe content. This includesimage-to-image replacement [6] and, more aligned withour work, image-to-text transformation. A key work inthis area is “Synthesis via Private Textual Intermediaries(SPTI),” which first generates a textual description froman image and then applies formal Differential Privacy(DP) to the text generation process to create a privatesynthetic dataset [8]. Another related approach by Rezaeiet al. uses a feedback-based reinforcement learning strat-egy to iteratively refine text generated from images,but does not employ a structured decomposition of thescene [2].
In summary, while these paradigms have advancedthe field, a gap remains for a framework that offersfine-grained, semantic control over the privacy-utilitytrade-off, rather than applying a uniform, one-size-fits-all mechanism like encryption or noise. This conclusiondirectly motivates our work.",9.96,
CogMI_Security_and_Privacy_RL_MoE (2),2,footer,"The challenge of protecting privacy in visual data hasbeen approached from several distinct paradigms. Tradi-tional methods often involve direct image manipulation,such as face masking, blurring, or obfuscation [2]. Whilesimple to implement, these techniques are often insuffi-cient, as they can be vulnerable to reconstruction attacksand may still leak identifying information through otherfeatures. More advanced approaches can be categorizedinto three main groups.
To provide a clear overview, the following table com-pares these dominant paradigms:",9.96,
CogMI_Security_and_Privacy_RL_MoE (2),2,header,"the output by text-based evaluation metrics. The finaloutput will be comprehensive description of the capturedimages.The contributions of this paper are as follows:1) We introduce a new paradigm for visual privacythat transforms raw images into structured textualdescriptions. This approach fundamentally movesthe privacy-utility frontier beyond the limitationsof traditional obfuscation and encryption tech-niques by replacing data perturbation with con-trolled semantic abstraction.2) We design and implement a novel framework thatsynergistically combines a MoE model for fine-grained scene analysis with a RL agent for policy-based text optimization. To our knowledge, this isthe first application of such a hybrid architecture tothe problem of privacy-preserving data generation,enabling an unprecedented level of control over theoutput.3) We propose and formulate a composite RL rewardfunction that explicitly encodes the dual objectivesof semantic relevance (via BERTScore), coverage(via ROUGE), and conciseness. This mechanismallows the system’s output to be dynamically tunedfor different operational contexts, from high-utilityevidence gathering to high-privacy traffic monitor-ing.4) We provide a comprehensive evaluation on fourdistinct transportation-related datasets (TRAN-COS, RoRFD, Pedestrian, and a general objectdataset) and two face-privacy benchmarks (CFP-FP, AgeDB-30). Our results demonstrate thatRL-MoE significantly outperforms state-of-the-artbaselines in both quantitative privacy metrics (e.g.,reducing attack success rates by over 27% com-pared to the next-best method) and textual quality.
The first paradigm is based on encryption. Thesemethods apply cryptographic operations directly to im-age data before processing. A prominent technique isDouble Random Phase Encoding (DRPE), which trans-forms an image into stationary white noise, allowingfor tasks like classification or captioning to be per-formed on the encrypted data without decryption [3],[4]. Some variants propose partial encryption, whereonly sensitive regions of an image are encrypted, leavingthe rest intact to provide context for the model [5].While offering strong, mathematically-grounded privacy,encryption-based methods can be computationally ex-pensive and may degrade semantic information to adegree that hinders complex scene understanding [3], [5].",9.96,
CogMI_Security_and_Privacy_RL_MoE (2),3,body,"TechniqueMethodologyPrivacy GuaranteeControl GranularityKey Limitation
Encryption-based [3], [5]Apply cryptographic oper-ations (e.g., DRPE) to im-age pixels.
Cryptographic (provableif keys are secure).Coarse (pixel-level).Highcomputationalover-head; can destroy semanticcontext.
Adversarial/Obfuscation [6], [7]Modify data to confuse aspecific observer or hidegeometry.
Heuristic (empirical, notformal).Medium(feature-levelor representation-level).Often threat-model specific;may lack generalizability.
Generative (DP-Text) [8]Generate text from image,then apply DP to the text.Formal (Differential Pri-vacy).Coarse (adds noise to theoverall generation pro-cess).
Lacks fine-grained controlover the content of the gen-erated text.
RL-MoE (Proposed)DecomposescenewithMoE; optimize text withRL.
Empirical (measured viaattack success rate).Fine (word/concept-levelvia RL policy).Lacks a formal privacy guar-antee like DP.
B. Reinforcement Learning for Controllable Text Gener-ation
approach of using RL to optimize for a dual objective ofutility and privacy is highly aligned with our work anddemonstrates that it is feasible to train text generationmodels with policy-gradient methods while providingmathematical privacy guarantees. This establishes a clearand promising path for future work to integrate formalprivacy guarantees into our framework.
C. Mixture-of-Experts (MoE) in Generative Models
The Mixture-of-Experts (MoE) architecture is an en-semble learning technique where a “gating network”dynamically routes inputs to a set of specialized “expert”sub-networks [12]. In the context of modern large lan-guage models (LLMs), MoE has been primarily adoptedas a strategy for computational efficiency. By activatingonly a fraction of the model’s total parameters for anygiven input, MoE models can scale to trillions of pa-rameters while maintaining manageable inference costs.This has led to the development of powerful open-sourceMoE models like Qwen3 and Phi-3 [13], [14].However, our work proposes a novel application ofthe MoE architecture. While the community has focusedon MoE for scaling and efficiency, we repurpose it forstructured semantic decomposition. In our framework,the experts are not general-purpose language models butare specialized for distinct, privacy-relevant aspects of avisual scene (e.g., Traffic, Pedestrians, Signs). The gatingnetwork learns to weigh the importance of each aspectbased on the input image. To our knowledge, RL-MoEis the first framework to use an MoE architecture for thespecific purpose of dividing a visual scene for controlled,privacy-aware generative abstraction, demonstrating anew utility for this powerful architecture beyond com-putational scaling.
III. PROBLEM STATEMENT",8.61,
CogMI_Security_and_Privacy_RL_MoE (2),3,footer,"Reinforcement Learning (RL) has emerged as a pow-erful technique for text generation, primarily because itcan optimize for complex, non-differentiable sequence-level metrics that are difficult to handle with standardsupervised learning. Early work in applying RL to imagecaptioning demonstrated its potential but also highlightedchallenges such as learning bias from shaped rewardsand slow, unstable training due to the large actionspace [9]. Policy-gradient algorithms like REINFORCE,which we employ in our framework, are commonlyused to directly optimize text generation policies againstcustom reward functions.A key challenge in RL-based text generation is thedesign of the reward function. Traditional approachesoften rely on coarse, sentence-level feedback, whichprovides a sparse and noisy learning signal. To addressthis, recent research has shifted toward designing morefine-grained, token-level rewards that provide a densersignal to the agent. For example, the FIRE and TOLEalgorithms propose novel methods for deriving token-level rewards, demonstrating superior controllability andfaster convergence compared to methods using sentence-level feedback [10]. Our composite reward function,which balances relevance, coverage, and conciseness, isaligned with this modern trend toward more nuancedreward engineering.Furthermore, the intersection of RL and formal pri-vacy is a burgeoning research area. A prime exampleis the work by Fung et al. (2021), which successfullyintegrated Differential Privacy (DP) with RL for thetask of authorship anonymization [11]. Their frameworkuses a REINFORCE training reward function to gen-erate text that preserves the original semantics whileremoving identifiable writing styles, thus providing aformal privacy guarantee for the author’s identity. This
Roadside cameras are widely used in ITS, and theycapture a high number of images every day. They assist",9.96,
CogMI_Security_and_Privacy_RL_MoE (2),3,header,TABLE ICOMPARATIVE ANALYSIS OF PRIVACY-PRESERVING TECHNIQUES,7.25,
CogMI_Security_and_Privacy_RL_MoE (2),4,body,"IV. PROPOSED APPROACH: RL-MOE
To address the challenge of preserving privacy whilemaintaining data utility in ITS, we introduce RL-MoE,a novel framework that transforms raw visual datainto optimized, privacy-aware textual descriptions. Ourapproach avoids the direct transmission and storageof sensitive images, fundamentally shifting the privacymechanism from data obfuscation to controlled seman-tic abstraction. The framework operates in three mainstages: (1) a Vision-Language MoE model performs amulti-faceted analysis of the scene; (2) a feed-forwardneural network computes relevance weights for eachexpert’s output; and (3) a RL agent aggregates and re-fines the generated text to produce a final, coherent, andprivacy-preserving description. The overall architectureis depicted in Figure 1.Let I be an input image from an ITS camera. Ourobjective is to learn a generative policy, πθ, param-eterized by θ, which maps the image I to a textualdescription W = (w1, w2, . . . , wT ). The policy is trainedto maximize an expected reward J(θ) = EW ∼πθ(·|I),where the reward function R is a composite metricdesigned to balance data utility and privacy preservation.
A. Vision-Language MoE for Scene Understanding
• Traffic Assessment Expert: Analyzes vehicle dy-namics, including movement, congestion levels, andtraffic flow. It leverages optical flow algorithms toestimate vehicle trajectories and extracts insights onvehicle density and speed.
• Road Signs Detection Expert: Identifies and in-terprets critical road signage and traffic controlelements by integrating specialized text extractiontechniques for regulatory signs.
• Pedestrian Detection Expert: Focuses on identify-ing and tracking pedestrians using the YOLO-Posemodel. This enables accurate pose estimation andmovement tracking to infer pedestrian behavior andintent.
• Environmental Analysis Expert: Extracts contex-tual information about the scene, such as weatherpatterns, road surface conditions, and visibility lev-els (e.g., fog density, rain intensity).Each expert generates a textual description, and these areaggregated to form a rich, multi-faceted initial represen-tation of the scene, denoted as WMoE.
B. Expert Weight Computation via Feed-Forward NeuralNetworkTo prioritize the most relevant information from theexperts, a Feed-Forward Neural Network (FFNN) dy-namically assigns a relevance weight, αm, to each ex-pert’s output based on the global features of the inputimage. The FFNN takes a holistic image embedding asinput and processes it through its hidden layers. Thefinal layer uses a softmax activation function to producea normalized probability distribution over the experts,ensuring that PMm=1 αm = 1. The weight for the m-thexpert is calculated as:
where zm is the logit output of the FFNN for expertm and M is the total number of experts. This adaptiveweighting allows the framework to prioritize, for exam-ple, the Traffic Assessment Expert in a congested sceneor the Pedestrian Detection Expert in an area with highfoot traffic.",9.5,
CogMI_Security_and_Privacy_RL_MoE (2),4,caption,αm =ezmPMk=1 ezk(1),8.1,
CogMI_Security_and_Privacy_RL_MoE (2),4,footer,"The first stage of our framework employs a Mixture-of-Experts (MoE) architecture to decompose the com-plex task of scene understanding into specialized, man-ageable sub-tasks.[2, 1] This decomposition allows for amore nuanced and comprehensive analysis than a single
C. Reinforcement Learning for Text OptimizationThe final and most critical stage of our frameworkuses a RL agent to merge, refine, and optimize the",9.96,
CogMI_Security_and_Privacy_RL_MoE (2),4,header,"with data collection for different purposes such as viola-tion detection, safety, and control, etc. Despite the widerange of applications by these devices, privacy concernshave been very discussed along their applications [15],[16]. The captured raw images may include personaldetails like vehicle information, location history, andeven pedestrian biometric data.It is shown in [17] how the privacy of captured imagesin a violation detection project in Queensland is underquestion. A similar project is being conducted in thestate of California and Maryland. They utilize camerasto record traffic violations [18]. These cameras try toblur faces, but it does not always work. However, theymight blur the wrong areas or miss important parts thatshould be hidden [19], [20].Although various methods are utilized to protect theprivacy of captured images such as masking, obfusca-tion, and blurring, many current methods do not protectprivacy well. For example, Jian et al. [21] show that thesemethods can be attacked using AI tools like adversarialattacks. These attacks can sometimes reveal a person’sidentity, or [22] also show that hiding visual informationis not always safe.
monolithic model. Each expert is a specialized Vision-Language Model (VLM), specifically Llama 3.2, taskedwith analyzing a distinct aspect of the traffic scene.A Retrieval-Augmented Generation (RAG) mechanismis used to select the most relevant prompts for eachexpert from a dedicated prompt list, ensuring targetedand context-aware analysis. Our framework consists offour experts:",9.96,
